gamecount, episode, average_max_q, score, average_diff
1,156,0.989313952610734,-1,0.0143531695645185
2,135,0.990038128646344,-1,0.0149652921515702
3,223,0.96225716283484,-1,0.0184088257981069
4,165,0.964444716475778,1,0.0173149377836483
5,226,0.969907016757782,1,0.0181033673265084
6,175,0.991635574518104,-1,0.0159345329342994
7,164,0.985879944989205,1,0.0150046862675589
8,199,0.981574315500459,-1,0.0144763381246282
9,108,0.977355015219677,-1,0.0145193918966676
10,117,0.957223033049399,-1,0.0138517189785512
11,145,0.921139366072875,1,0.0148551674169434
12,149,0.939764137803184,1,0.0142462088775767
13,150,0.981521549372134,-1,0.0136599638023836
14,347,0.945191565913093,-1,0.0142478733222399
15,245,0.861082278927283,-1,0.0133632891971756
